timestamp,side,price,qty,notional,pnl,balance_usdt,note
2026-03-17T07:11:01.116298+00:00,BUY,86.79,0.57610324,50.0,0.0,50.0,entry
2026-03-17T07:11:01.118164+00:00,SELL,86.16,0.57610324,49.637055,-0.362945,99.637055,ema_cross_down
2026-03-17T07:11:01.120371+00:00,BUY,86.8,0.57394617,49.818527,0.0,49.818527,entry
2026-03-17T07:11:01.122813+00:00,SELL,86.28,0.57394617,49.520075,-0.298452,99.338603,ema_cross_down
2026-03-17T07:11:01.124193+00:00,BUY,86.94,0.57130552,49.669301,0.0,49.669301,entry
2026-03-17T07:11:01.125765+00:00,SELL,89.76,0.57130552,51.280383,1.611082,100.949685,take_profit
2026-03-17T07:11:01.133536+00:00,BUY,89.16,0.56611532,50.474842,0.0,50.474842,entry
2026-03-17T07:11:01.137566+00:00,SELL,92.05,0.56611532,52.110916,1.636073,102.585758,take_profit
2026-03-17T07:11:01.162279+00:00,BUY,87.07,0.58909933,51.292879,0.0,51.292879,entry
2026-03-17T07:11:01.174279+00:00,SELL,88.21,0.58909933,51.964452,0.671573,103.257331,ema_cross_down
2026-03-17T07:11:01.178797+00:00,BUY,88.57,0.58291369,51.628666,0.0,51.628666,entry
2026-03-17T07:11:01.181566+00:00,SELL,92.01,0.58291369,53.633889,2.005223,105.262554,take_profit
2026-03-17T07:11:01.194716+00:00,BUY,94.08,0.55943109,52.631277,0.0,52.631277,entry
2026-03-17T07:11:01.195505+00:00,SELL,93.2,0.55943109,52.138978,-0.492299,104.770255,ema_cross_down
2026-03-17T07:11:01.196625+00:00,BUY,93.97,0.5574665,52.385127,0.0,52.385127,entry
2026-03-17T07:11:01.202546+00:00,SELL,97.28,0.5574665,54.230342,1.845214,106.615469,take_profit
